cnpj,codigo_B3,registro_cancelado
00.001.180/0001-26,ELET5,False
50.564.053/0001-03,BOBR3,False
00.864.214/0001-06,ENGI3,False
50.926.955/0001-42,VULC3,False
10.835.932/0001-08,CEPE6,False
17.161.241/0001-15,MMAQ4,False
22.677.520/0001-76,CTNM3,False
60.851.615/0001-53,BDLL3,False
11.395.624/0001-71,BPHA,True
61.074.506/0001-30,MAFE,True
01.258.943/0001-81,SQRM,True
61.411.633/0001-87,BESP,True
02.860.694/0001-62,SHOW,True
89.723.993/0001-33,SULT,True
02.628.033/0001-06,LTEC,True
07.110.438/0001-71,BTSE,True
00.751.913/0001-40,ENLT,True
61.087.912/0001-37,COPA,True
61.150.751/0001-89,PIRE,True
17.317.686/0001-41,ALTE,True
14.962.356/0001-10,FGOL,True
02.302.098/0001-67,EPTE,True
08.695.953/0001-23,BOVH,True
92.749.167/0001-78,NEUG,True
84.720.630/0001-20,EBCO,True
01.545.832/0001-56,IRRI,True
67.437.434/0001-24,TCSC,True
01.655.694/0001-68,TETE,True
97.395.172/0001-43,IVEN,True
33.033.960/0001-07,SANO,True
08.665.255/0001-85,TARP,True
24.962.466/0001-36,FRRN,True
71.722.607/0001-23,PLPT,True
05.388.437/0001-68,ULBR,True
02.783.425/0001-40,ALIU,True
34.177.279/0001-03,GAFP,True
60.881.422/0001-45,AUTO,True
00.886.257/0001-92,ATMO,True
02.332.397/0001-44,TPRC,True
61.489.514/0001-47,LAEL,True
07.073.027/0001-53,TVIT,True
01.596.401/0001-19,CPAA,True
92.689.173/0001-87,AFRD,True
62.545.686/0001-53,OXIT,True
02.250.726/0001-08,SPEL,True
08.383.595/0001-13,DUFB,True
00.183.435/0001-19,BSFO,True
61.081.972/0001-42,IBRC,True
43.443.464/0001-85,LBBO,True
21.728.500/0001-14,PACF,True
02.808.481/0001-91,AETA,True
13.776.362/0001-10,BTUR,True
84.683.762/0001-20,DUQE,True
23.116.551/0001-10,CFTP,True
25.329.319/0001-96,WMBY,True
33.470.022/0001-74,FGUI,True
61.015.582/0001-74,CPEE,True
58.877.812/0001-08,CPNY,True
04.030.087/0001-09,COAR,True
17.155.151/0001-11,MROE,True
27.251.974/0001-02,CSTB,True
05.707.616/0001-10,BSAN,True
92.859.974/0001-43,ALTS,True
02.558.154/0001-29,TNCP,True
61.074.092/0001-49,MSAN,True
33.550.104/0001-29,LOSA,True
01.245.375/0001-84,GLTR,True
89.940.878/0001-10,LCSA,True
88.610.779/0001-08,SEBE,True
34.274.233/0001-02,BRDT,True
78.594.876/0001-09,TRPA,True
57.488.645/0001-32,ELUM,True
15.182.652/0001-61,IBAN,True
61.149.084/0001-14,ITPS,True
02.258.274/0001-00,PICO,True
07.794.351/0001-60,ABYA,True
00.027.742/0001-00,CBCC,True
16.921.603-0001-66,BIOB,True
01.394.549/0001-70,GMSA,True
02.762.113/0001-50,BFRE,True
62.291.380/0001-18,ATBS,True
02.998.609/0001-27,GETI,True
43.642.727/0001-85,TLSP,True
28.500.320/0001-20,VRLM,True
07.950.674/0001-04,CCXC,True
10.382.341/0001-22,DXXI,True
33.323.742/0001-07,BGFF,True
17.170.150/0001-46,MANM,True
91.664.706/0001-03,LSEH,True
57.487.142/0001-42,CPFL,True
82.641.325/0001-18,CREM,True
00.649.881/0001-76,GTDP,True
84.685.189/0001-93,JOIN,True
82.981.929/0001-03,SCLO,True
42.416.651/0001-07,PRBN,True
02.465.783/0001-04,FTRT,True
00.866.577/0001-80,PSEG,True
62.791.116/0001-43,ASSM,True
17.159.005/0001-64,SJOS,True
60.400.009/0001-11,MNSA,True
61.196.564/0001-36,FLBR,True
10.265.949/0001-77,COPR,True
33.870.163/0001-84,BEXC,True
76.491.828/0001-51,EMRC,True
02.312.126/0001-27,GGES,True
60.688.256/0001-65,PVLT,True
02.670.203/0001-10,RCPR,True
08.741.499/0001-08,PRML,True
10.809.341/0001-66,BTSP,True
04.815.734/0001-80,JARI,True
88.658.752/0001-95,SEHB,True
92.691.328/0001-10,CSUL,True
71.476.527/0001-35,TEND,True
00.643.535/0001-80,EBRU,True
69.720.910/0001-45,LBIC,True
57.500.001/0001-12,FAPC,True
01.832.326/0001-48,VEGA,True
03.114.361/0001-57,DSUL,True
17.221.771/0001-01,LIAS,True
00.185.041/0001-08,ITQR,True
65.599.953/0001-63,CPMS,True
08.887.330/0001-52,CZLT,True
60.700.556/0001-12,BNET,True
76.487.032/0001-25,REPA,True
92.758.085/0001-90,ALBA,True
07.088.416/0001-52,FDCS,True
51.468.791/0001-10,RPSA,True
13.324.184/0001-97,VIGR,True
02.558.129/0001-45,TSEP,True
06.833.131/0001-36,BPIA,True
61.087.581/0001-35,STRP,True
00.514.998/0001-42,ETRO,True
32.185.928/0001-84,TLUX,True
60.889.128/0001-80,SFSA,True
11.094.546/0001-75,MPLU,True
57.486.177/0001-67,TBCP,True
01.540.533/0001-29,QUEN,True
61.082.863/0001-40,ORIO,True
60.643.228/0001-21,FIBR,True
47.080.619/0001-17,ACGU,True
61.288.916/0001-83,BZNX,True
07.700.557/0001-84,BISA,True
04.370.082/0001-17,WTTC,True
31.959.356/0001-80,CMMA,True
02.808.708/0001-07,AMBV,True
61.116.331/0001-86,VGOR,True
06.977.739/0001-34,TEMP,True
02.558.132/0001-69,TCOC,True
52.736.840/0001-10,CCHI,True
33.700.394/0001-40,UBBR,True
00.354.053/0001-00,LOAR,True
84.489.996/0001-30,SNDW,True
03.002.935/0001-03,MLCF,True
15.463.423/0001-15,MLPP,True
02.084.220/0001-76,STBR,True
08.769.451/0001-08,IMWL,True
29.506.474/0001-91,LATS,True
02.320.032/0001-08,TBRC,True
24.315.012/0001-73,ARCE,True
17.157.850/0001-09,USIM,True
02.783.422/0001-06,ALPT,True
05.341.549/0001-63,TRPN,True
60.882.628/0001-90,CNFB,True
07.645.260/0001-63,MSTR,True
60.881.364/0001-50,BERG,True
01.685.903/0001-16,AMCE,True
13.558.218/0001-08,CARB,True
11.136.660/0001-10,HGNN,True
08.473.852/0001-08,ANRN,True
17.197.385/0001-21,CSMB,True
10.847.761/0001-37,EBXG,True
61.632.964/0001-47,PQUN,True
07.332.190/0001-93,VINE,True
82.981.812/0001-20,BUET,True
01.547.749/0001-16,QVUM,True
43.358.647/0001-00,MEDI,True
61.460.762/0001-65,IVIL,True
03.906.591/0001-59,SOES,True
,YPFL,True
02.659.727/0001-00,RNPT,True
42.517.177/0001-00,MDDT,True
33.433.665/0001-48,DOCA,True
02.390.206/0001-09,PITI,True
13.552.070/0001-02,PNOR,True
10.603.674/0001-34,WWOW,True
01.996.119/0001-29,APHA,True
02.036.200/0001-09,ARGM,True
61.192.373/0001-04,COBE,True
20.789.145/0001-20,ELSX,True
60.701.190/0001-04,ITAU,True
00.020.540/0001-37,MLPA,True
08.904.552/0001-36,MILK,True
94.845.674/0001-30,RIPI,True
94.789.468/0001-50,RSIP,True
02.258.422/0001-97,INFM,True
00.058.578/0001-07,TBRS,True
62.092.739/0001-28,NAAG,True
62.607.502/0001-32,SHAP,True
62.528.930/0001-70,FATO,True
04.295.166/0001-33,TDBH,True
61.482.725/0001-58,DFVA,True
09.462.850/0001-86,BJUL,True
60.434.487/0001-42,LECO,True
88.610.159/0001-79,MDZZ,True
61.077.830/0001-01,PNXS,True
22.770.366/0001-82,TOYB,True
00.108.813/0001-08,PILC,True
08.904.090/0001-57,MTNS,True
88.615.315/0001-94,SHPA,True
61.151.445/0001-67,SEMP,True
07.949.970/0001-87,CTMI,True
61.189.601/0001-89,CLDX,True
05.721.582/0001-19,TEFC,True
33.009.911/0001-39,CRUZ,True
61.573.796/0001-66,BSGR,True
61.080.313/0001-91,CBMA,True
44.689.123/0001-57,UCOP,True
07.256.507/0001-50,ITSP,True
02.395.548/0001-03,POCO,True
02.016.439/0001-38,RGEG,True
98.408.073/0001-11,AZBR,True
61.104.717/0001-78,COES,True
33.261.561/0001-01,ECIS,True
04.987.555/0001-20,BGPR,True
96.832.365/0001-51,BHEQ,True
84.208.123/0001-02,IMBI,True
43.833.821/0001-11,BBLS,True
04.705.090/0001-77,SZPQ,True
13.407.573/0001-86,HPIA,True
33.000.035/0001-80,BANG,True
05.918.309/0001-89,IMIG,True
61.418.430/0001-12,TROR,True
92.934.215/0001-06,VERB,True
02.319.126/0001-59,TSPC,True
03.634.777/0001-04,VPTA,True
01.258.947/0001-60,PAAP,True
02.369.513/0001-08,SPNR,True
60.664.810/0001-74,AVIL,True
16.236.440/0001-82,MTPS,True
01.585.482/0001-51,SLOG,True
01.529.588/0001-38,TRSL,True
61.565.511/0001-45,CABR,True
13.603.683/0001-13,PLTO,True
84.046.101/0001-93,CEVA,True
15.163.587/0001-27,BDBA,True
01.258.944/0001-26,GTCZ,True
60.942.638/0001-73,BFIT,True
60.398.989/0001-65,FTSE,True
02.225.714/0001-23,IENG,True
60.703.923/0001-31,VASP,True
07.196.934/0001-90,BECE,True
20.730.099/0001-94,SDIA,True
92.772.821/0001-64,VAGV,True
02.387.233/0001-14,PIJU,True
92.776.665/0001-00,ELEV,True
95.424.479/0001-08,POLA,True
00.189.469/0001-10,LTAM,True
13.004.510/0001-89,BPCO,True
47.427.653/0001-15,MAKR,True
43.710.946/0001-54,MTDO,True
00.249.786/0001-85,FPRT,True
15.105.588/0001-15,ODBE,True
10.782.175/0001-51,PXEC,True
01.391.425/0001-31,PORP,True
33.390.170/0001-89,ACES,True
02.558.134/0001-58,TNLP,True
08.936.792/0001-12,IMCH,True
61.410.395/0001-95,FBMC,True
02.558.156/0001-18,TNEP,True
59.290.239/0001-96,BFCV,True
83.296.889/0001-23,CHAP,True
09.358.105/0001-91,CTIP,True
01.672.223/0001-68,CDOU,True
15.082.688/0001-73,ASTA,True
71.444.681/0001-25,TBAS,True
82.981.671/0001-45,FTRX,True
29.667.227/0001-77,PEFX,True
07.450.604/0001-89,BICB,True
02.919.555/0001-67,ARTR,True
51.466.753/0001-28,VGAF,True
28.672.087/0001-62,BARB,True
08.281.683/0001-04,RJCP,True
61.064.978/0001-01,ARNO,True
60.394.723/0001-44,DXTG,True
92.825.900/0001-96,DHBI,True
12.648.327/0001-53,HBSA,True
28.154.847/0001-40,RECF,True
02.762.122/0001-40,SEBB,True
02.541.982/0001-54,SEDU,True
33.067.745/0001-27,ERIC,True
00.028.986/0001-08,ELAT,True
02.790.893/0001-41,CSPC,True
60.499.605/0001-09,SIFC,True
78.229.309/0001-45,PISA,True
57.009.078/0001-94,AMLC,True
60.594.538/0001-01,IVCT,True
33.000.571/0001-85,WHMT,True
02.220.855/0001-53,SFSP,True
05.615.334/0001-93,SLAE,True
96.735.105/0001-68,ROSI,True
84.429.752/0001-62,MRSL,True
02.331.879/0001-80,TBAC,True
01.529.589/0001-82,RASL,True
04.364.656/0001-4,PVFS,True
32.286.411/0001-81,SLAL,True
61.196.119/0001-76,GIAN,True
76.538.446/0001-36,BSEG,True
13.558.226/0001-54,CPCA,True
02.808.710/0001-78,AMRI,True
08.936.812/0001-55,BMEF,True
91.669.739/0001-46,NVSI,True
91.677.682/0001-27,NHCS,True
07.704.069/0001-45,IBIO,True
00.313.162/0001-80,GRPA,True
96.735.006/0001-86,CZAR,True
08.937.002/0001-13,VSON,True
61.194.080/0001-58,DURA,True
33.087.156/0001-00,MESB,True
61.442.752/0001-05,SPPE,True
33.040.924/0001-70,CLCP,True
33.161.340/0001-53,SGEN,True
33.005.703/0001-61,LOBR,True
08.262.343/0001-36,MARI,True
15.912.764/0001-20,SMLE,True
13.788.120/0001-47,ELEK,True
84.043.009/0001-70,ILLS,True
60.853.942/0001-44,VSMA,True
02.036.214/0001-43,CAPA,True
42.584.128/0001-90,CBDP,True
10.608.405/0001-60,ASTE,True
67.203.208/0001-89,CCIM,True
08.835.366/0001-92,CTLG,True
11.423.623/0001-93,DAGB,True
85.459.691/0001-49,SCMI,True
66.542.002/0001-10,CTWR,True
04.370.450/0001-27,WTNS,True
60.631.090/0001-40,LARK,True
82.640.723/0001-10,ARTE,True
10.488.244/0001-19,IFSC,True
59.179.838/0001-37,PIPN,True
12.592.795/0001-53,PEOG,True
00.237.000/0001-00,ARBR,True
11.040.082/0001-14,AGEI,True
58.128.174/0001-14,CBAG,True
61.360.434/0001-97,CSPP,True
57.494.031/0001-63,CCTU,True
60.736.279/0001-06,CTLU,True
11.566.501/0001-56,TERI,True
01.654.604/0001-14,CNCP,True
85.041.333/0001-11,TPPF,True
92.749.217/0001-17,ZIVI,True
08.424.178/0001-71,TENE,True
00.624.910/0001-45,CSEG,True
15.137.276/0001-93,TEBA,True
50.747.732/0001-18,GMEC,True
53.790.218/0001-53,LFFE,True
61.550.497/0001-06,CTEN,True
01.104.894/0001-22,SHTM,True
00.160.436/0001-48,AUST,True
02.783.424/0001-03,AVID,True
08.723.106/0001-25,BHGR,True
07.033.882/0001-30,WTTS,True
03.420.904/0001-64,GVTT,True
90.347.840/0001-18,SURS,True
08.884.213/0001-35,BPAT,True
40.173.064/0001-09,DJON,True
19.791.268/0001-17,MAGS,True
02.286.509/0001-78,ELMT,True
56.795.362/0001-70,MATC,True
00.313.160/0001-90,TPAN,True
88.925.029/0001-25,GRNL,True
09.347.916/0001-97,KRBR,True
92.794.486/0001-03,CRGT,True
01.368.194/0001-45,SLBR,True
61.230.165/0001-44,BASU,True
03.010.016/0001-73,CRTP,True
07.394.616/0001-33,UNCI,True
61.084.984/0001-20,BMTO,True
70.036.132/0001-59,MPAR,True
02.914.460/0001-50,SALM,True
61.064.838/0001-33,LITS,True
80.902.018/0001-18,RICA,True
02.558.144/0001-93,TLCP,True
02.871.007/0001-04,VSID,True
00.644.907/0001-93,INVT,True
82.639.139/0001-44,HERI,True
02.201.268/0001-17,EMCS,True
36.461.242/0001-20,AMIL,True
76.492.172/0001-91,BEPA,True
61.146.577/0001-09,IBNB,True
56.994.924/0001-05,PMET,True
15.483.430/0001-89,BPMP,True
61.086.823/0001-76,CELM,True
04.896.759/0001-55,CTAN,True
88.301.163/0001-55,LETO,True
56.021.785/0001-33,EPED,True
24.170.211/0001-30,GRID,True
01.772.313/0001-20,VLTR,True
07.620.094/0001-40,AFLU,True
04.562.120/0001-33,BAAM,True
01.492.670/0001-35,PLNT,True
53.843.777/0001-84,ELBR,True
33.051.186/0001-67,CBVI,True
61.065.421/0001-95,BMCT,True
92.660.604/0001-82,ILMD,True
33.007.592/0001-22,NOVA,True
11.703.519/0001-52,BPLA,True
33.485.541/0001-06,BBVT,True
00.299.045/0001-09,LIBP,True
01.946.997/0001-30,BRAU,True
02.457.269/0001-27,FRPS,True
33.366.980/0001-08,BRHA,True
92.189.356/0001-33,ARLA,True
02.570.688/0001-70,BRTP,True
50.280.429/0001-58,PVPR,True
59.104.513/0001-95,AUTM,True
02.288.752/0001-25,APPA,True
15.142.490/0001-38,BEBA,True
79.313.086/0001-62,WISA,True
76.500.180/0001-32,PRVI,True
52.940.350/0001-31,BAQU,True
91.374.561/0001-06,FGOS,True
47.709.365/0001-53,ATEL,True
33.433.822/0001-15,CECI,True
60.522.000/0001-83,ANTA,True
33.009.960/0001-71,MFLU,True
71.550.388/0001-42,RUMO,True
11.102.250/0001-59,HCBR,True
62.868.302/0001-33,BCLM,True
02.670.204/0001-65,RHPR,True
01.258.945/0001-70,GRUC,True
02.558.118/0001-65,TMCP,True
03.410.855/0001-89,CPCM,True
00.257.846/0001-01,FPXE,True
14.308.514/0001-13,BBPA,True
76.527.951/0001-85,PREQ,True
00.861.626/0001-92,NDUT,True
13.604.087/0001-58,POPR,True
01.123.176/0001-01,COVR,True
60.484.797/0001-71,KLAB,True
06.027.566/0001-93,UNIT,True
03.870.455/0005-80,FOMS,True
33.429.226/0001-61,TESE,True
61.442.109/0001-73,FBRA,True
10.866.788/0001-77,BDEP,True
33.024.860/0001-14,CJSC,True
91.156.901/0001-22,OLVB,True
12.126.500/0001-53,RDTR,True
06.349.242/0001-71,WTCJ,True
04.800.265/0001-25,WTSC,True
01.425.787/0001-04,RDCD,True
00.956.274/0001-59,CETE,True
88.948.492/0001-92,CPSL,True
17.162.082/0001-73,MEND,True
46.014.635/0001-49,LIXC,True
49.039.936/0001-15,SDOK,True
92.724.053/0001-73,LGLO,True
51.468.056/0001-06,CTPC,True
09.601.322/0001-60,CTXP,True
61.146.650/0001-34,GALO,True
03.329.124/0001-03,UOLI,True
60.208.493/0001-81,EMBR,True
60.501.780/0001-85,VEMG,True
15.224.488/0001-08,CRBM,True
04.381.091/0001-03,BTAS,True
60.943.388/0001-96,BLME,True
63.090.609/0001-19,BIVT,True
42.157.511/0001-61,ARCZ,True
92.672.203/0001-42,TCHN,True
00.627.379/0001-64,JUNG,True
04.106.907/0001-90,SPWE,True
00.743.065/0001-27,LTEL,True
24.030.025/0001-04,ICPI,True
62.136.254/0001-99,CZRS,True
08.253.728/0001-37,TFAS,True
82.640.632/0001-84,LHER,True
82.636.887/0001-73,SCHA,True
00.095.147/0001-02,NCNE,True
60.605.664/0001-06,RAIA,True
13.565.502/0001-01,EDNE,True
17.156.514/0001-33,REAL,True
10.826.798/0001-89,PORC,True
45.397.007/0001-27,SPLC,True
07.710.591/0001-30,WTVP,True
82.639.543/0001-18,LORZ,True
43.073.394/0001-10,BNCA,True
90.286.105/0001-41,TRFO,True
88.611.983/0001-43,GAZO,True
02.320.739/0001-06,TMGC,True
84.683.788/0001-78,MDOU,True
88.610.324/0001-92,AGRA,True
33.010.760/0001-39,MULL,True
19.443.985/0001-58,FFTL,True
56.806.656/0001-50,RHDS,True
07.040.108/0001-57,CAEC,True
61.377.230/0001-69,FTZA,True
02.189.227/0001-52,CVPT,True
61.284.006/0001-22,MTCS,True
60.405.446/0001-28,EMXS,True
31.119.639/0001-14,DISA,True
00.159.138/0001-38,PNSA,True
75.049.965/0001-78,TRMB,True
08.684.547/0001-65,MAGG,True
08.903.116/0001-42,NSEC,True
00.000.000/0000-00,BOBS,True
31.456.338/0001-86,CFLU,True
10.747.021/0001-29,PRCA,True
15.125.339/0043-40,BAPC,True
15.102.288/0001-82,DBRE,True
02.117.801/0001-67,BNPA,True
02.036.227/0001-12,AMRT,True
60.872.173/0001-21,TRBR,True
49.058.555/0001-83,IDRL,True
02.808.627/0001-07,ACTO,True
47.893.664/0001-90,TAMR,True
01.543.032/0001-04,CGOS,True
02.558.074/0001-73,VIVO,True
84.432.426/0001-04,JFAB,True
92.690.700/0001-73,RHER,True
06.018.000/0001-03,FBSC,True
13.444.994/0001-87,MNBI,True
76.255.926/0001-90,IGUA,True
33.795.055/0001-94,PTQS,True
01.917.705/0001-30,AELP,True
01.545.830/0001-67,ITIN,True
01.102.291/0001-91,MCWS,True
82.610.726/0001-00,ARPS,True
21.254.073/0001-80,CIIT,True
29.075.363/0001-78,CBNT,True
82.373.077/0001-71,BEMA,True
61.071.387/0001-61,BBCM,True
62.232.889/0001-90,DAYC,True
46.112.488/0001-40,IVTE,True
83.876.003/0001-10,BSCT,True
33.387.382/0001-07,DATA,True
02.670.205/0001-00,RPPR,True
04.310.392/0001-46,AEDU,True
17.184.201/0001-99,TMGR,True
78.588.415/0001-15,CIQU,True
71.590.798/0001-17,FLAM,True
62.258.884/0001-36,CCCI,True
09.295.979/0001-47,IRON,True
33.017.039/0001-70,FCAP,True
24.956.666/0001-86,CLAN,True
13.017.462/0001-63,ENSE,True
17.179.391/0001-56,SAMI,True
02.558.124/0001-12,EBTP,True
09.259.821/0001-11,ANPB,True
10.362.796/0001-86,ELND,True
07.698.047/0001-10,AGIN,True
17.298.092/0001-30,BEMG,True
03.634.795/0001-88,VPSC,True
54.526.082/0001-31,ITEC,True
08.943.312/0001-40,AGEN,True
15.144.306/0001-99,SIBR,True
61.082.822/0001-53,MAHS,True
73.847.253/0001-79,FICA,True
44.081.677/0001-77,AMSL,True
06.082.980/0001-03,ALSC,True
06.571.822/0001-09,LUMS,True
19.527.639/0001-58,FLCL,True
01.386.256/0001-41,VTRF,True
09.126.970/0001-02,PONO,True
92.696.418/0001-01,MDEF,True
01.402.946/0001-47,VVAX,True
92.689.256/0001-76,DPPI,True
33.069.766/0001-81,PTIP,True
61.156.501/0001-56,SOLO,True
00.187.032/0001-48,KSSA,True
05.234.760/0001-87,IBPI,True
29.338.352/0001-48,REEM,True
01.083.200/0001-18,GNAN,True
01.109.184/0001-95,UOLL,True
13.545.769/0001-37,PLDN,True
02.330.506/0001-94,TRJC,True
02.162.616/0001-94,UPKP,True
04.634.250/0001-34,NSAM,True
13.587.050/0001-69,ECMC,True
01.608.571/0001-76,PBEL,True
02.107.946/0001-87,TLMP,True
00.108.786/0001-65,NETC,True
04.781.143/0001-39,BESA,True
25.869.736/0001-21,CAFE,True
01.540.541/0001-75,BGOS,True
31.865.728/0001-00,CMET,True
00.924.432/0001-99,PQTM,True
00.022.034/0001-87,UBHD,True
33.041.062/0001-09,SASG,True
00.974.211/0001-25,LMSA,True
60.651.726/0001-16,SUZA,True
33.123.118/0001-66,IMPE,True
97.422.620/0001-50,IDCO,True
61.067.161/0001-97,NAFG,True
02.930.076/0001-41,SUBA,True
